x,y,rho,ux,uy
0,0,0.853741,0.0909091,-4.06382e-18
0,1,0.814986,0.0909091,0.0148371
0,2,0.807505,0.0909091,-0.00071509
0,3,0.810512,0.0909091,-0.000246353
0,4,0.807744,0.0909091,0.00175817
0,5,0.804756,0.0909091,0.000828062
0,6,0.804205,0.0909091,0.000239122
0,7,0.803349,0.0909091,0.000544551
0,8,0.802135,0.0909091,0.00056676
0,9,0.801122,0.0909091,0.000456333
0,10,0.800243,0.0909091,0.000455894
0,11,0.799271,0.0909091,0.00049403
0,12,0.798279,0.0909091,0.000492596
0,13,0.797296,0.0909091,0.000493782
0,14,0.796297,0.0909091,0.00050713
0,15,0.795269,0.0909091,0.000519499
0,16,0.794224,0.0909091,0.000527171
0,17,0.793164,0.0909091,0.00053564
0,18,0.792088,0.0909091,0.000543926
0,19,0.790997,0.0909091,0.000550377
0,20,0.789896,0.0909091,0.000555033
0,21,0.788787,0.0909091,0.000558393
0,22,0.787674,0.0909091,0.00056006
0,23,0.78656,0.0909091,0.000559855
0,24,0.785448,0.0909091,0.000557811
0,25,0.784343,0.0909091,0.000553944
0,26,0.783248,0.0909091,0.000548187
0,27,0.782166,0.0909091,0.000540544
0,28,0.781102,0.0909091,0.000531043
0,29,0.780059,0.0909091,0.000519711
0,30,0.77904,0.0909091,0.000506579
0,31,0.77805,0.0909091,0.000491696
0,32,0.777091,0.0909091,0.000475119
0,33,0.776167,0.0909091,0.00045691
0,34,0.775281,0.0909091,0.000437137
0,35,0.774435,0.0909091,0.000415878
0,36,0.773634,0.0909091,0.000393213
0,37,0.772878,0.0909091,0.000369228
0,38,0.772172,0.0909091,0.000344012
0,39,0.771516,0.0909091,0.00031766
0,40,0.770914,0.0909091,0.000290266
0,41,0.770367,0.0909091,0.000261929
0,42,0.769878,0.0909091,0.000232749
0,43,0.769446,0.0909091,0.000202825
0,44,0.769075,0.0909091,0.000172259
0,45,0.768764,0.0909091,0.000141152
0,46,0.768516,0.0909091,0.000109604
0,47,0.76833,0.0909091,7.77163e-05
0,48,0.768208,0.0909091,4.55881e-05
0,49,0.768149,0.0909091,1.33188e-05
0,50,0.768154,0.0909091,-1.8993e-05
0,51,0.768223,0.0909091,-5.1249e-05
0,52,0.768356,0.0909091,-8.33513e-05
0,53,0.768552,0.0909091,-0.000115202
0,54,0.768811,0.0909091,-0.000146702
0,55,0.769131,0.0909091,-0.000177754
0,56,0.769513,0.0909091,-0.000208259
0,57,0.769954,0.0909091,-0.000238117
0,58,0.770454,0.0909091,-0.000267228
0,59,0.77101,0.0909091,-0.000295493
0,60,0.771622,0.0909091,-0.000322812
0,61,0.772287,0.0909091,-0.000349085
0,62,0.773003,0.0909091,-0.000374214
0,63,0.773767,0.0909091,-0.000398101
0,64,0.774578,0.0909091,-0.000420652
0,65,0.775432,0.0909091,-0.000441776
0,66,0.776327,0.0909091,-0.000461386
0,67,0.777259,0.0909091,-0.000479401
0,68,0.778225,0.0909091,-0.000495744
0,69,0.779223,0.0909091,-0.000510351
0,70,0.780248,0.0909091,-0.00052316
0,71,0.781297,0.0909091,-0.000534122
0,72,0.782366,0.0909091,-0.000543206
0,73,0.783451,0.0909091,-0.000550388
0,74,0.784549,0.0909091,-0.000555646
0,75,0.785656,0.0909091,-0.000558982
0,76,0.786769,0.0909091,-0.000560476
0,77,0.787883,0.0909091,-0.000560121
0,78,0.788995,0.0909091,-0.000557898
0,79,0.790101,0.0909091,-0.000553998
0,80,0.791199,0.0909091,-0.000548832
0,81,0.792286,0.0909091,-0.000541914
0,82,0.793357,0.0909091,-0.000533216
0,83,0.794412,0.0909091,-0.000524398
0,84,0.79545,0.0909091,-0.000516447
0,85,0.796472,0.0909091,-0.000503877
0,86,0.797465,0.0909091,-0.000490415
0,87,0.798441,0.0909091,-0.000489181
0,88,0.799427,0.0909091,-0.000490642
0,89,0.800393,0.0909091,-0.00045265
0,90,0.801266,0.0909091,-0.000453284
0,91,0.802274,0.0909091,-0.000563851
