x,y,rho,ux,uy
0,0,1.06513,0.0909091,0
0,1,1.01461,0.0909091,0.0155065
0,2,1.00525,0.0909091,-0.00101909
0,3,1.01013,0.0909091,-0.00063056
0,4,1.0074,0.0909091,0.00148763
0,5,1.00445,0.0909091,0.000471619
0,6,1.00478,0.0909091,-0.000188317
0,7,1.00483,0.0909091,8.59301e-05
0,8,1.00451,0.0909091,6.04372e-05
0,9,1.0046,0.0909091,-0.000105761
0,10,1.00497,0.0909091,-0.000151816
0,11,1.00533,0.0909091,-0.000157954
0,12,1.00578,0.0909091,-0.000202823
0,13,1.00634,0.0909091,-0.000239831
0,14,1.00696,0.0909091,-0.000258371
0,15,1.0076,0.0909091,-0.000272505
0,16,1.00827,0.0909091,-0.000284935
0,17,1.00895,0.0909091,-0.000289754
0,18,1.00961,0.0909091,-0.000288518
0,19,1.01025,0.0909091,-0.000283724
0,20,1.01086,0.0909091,-0.000276157
0,21,1.01144,0.0909091,-0.00026649
0,22,1.01197,0.0909091,-0.000256381
0,23,1.01247,0.0909091,-0.000247126
0,24,1.01295,0.0909091,-0.000239586
0,25,1.0134,0.0909091,-0.000234393
0,26,1.01384,0.0909091,-0.000231942
0,27,1.01427,0.0909091,-0.000232229
0,28,1.01471,0.0909091,-0.000234938
0,29,1.01517,0.0909091,-0.000239523
0,30,1.01564,0.0909091,-0.000245259
0,31,1.01613,0.0909091,-0.000251296
0,32,1.01664,0.0909091,-0.000256743
0,33,1.01717,0.0909091,-0.000260737
0,34,1.01771,0.0909091,-0.000262502
0,35,1.01826,0.0909091,-0.00026141
0,36,1.0188,0.0909091,-0.00025703
0,37,1.01933,0.0909091,-0.000249159
0,38,1.01984,0.0909091,-0.000237836
0,39,1.02032,0.0909091,-0.000223335
0,40,1.02076,0.0909091,-0.000206125
0,41,1.02117,0.0909091,-0.000186828
0,42,1.02152,0.0909091,-0.000166141
0,43,1.02184,0.0909091,-0.000144768
0,44,1.02211,0.0909091,-0.000123348
0,45,1.02233,0.0909091,-0.000102397
0,46,1.02251,0.0909091,-8.22592e-05
0,47,1.02266,0.0909091,-6.30957e-05
0,48,1.02277,0.0909091,-4.48789e-05
0,49,1.02285,0.0909091,-2.74167e-05
0,50,1.02289,0.0909091,-1.03919e-05
0,51,1.02291,0.0909091,6.58619e-06
0,52,1.0229,0.0909091,2.39216e-05
0,53,1.02285,0.0909091,4.197e-05
0,54,1.02277,0.0909091,6.09803e-05
0,55,1.02266,0.0909091,8.10474e-05
0,56,1.0225,0.0909091,0.000102078
0,57,1.0223,0.0909091,0.000123781
0,58,1.02205,0.0909091,0.000145671
0,59,1.02175,0.0909091,0.000167113
0,60,1.02141,0.0909091,0.000187367
0,61,1.02102,0.0909091,0.000205664
0,62,1.0206,0.0909091,0.000221287
0,63,1.02014,0.0909091,0.000233642
0,64,1.01966,0.0909091,0.000242327
0,65,1.01916,0.0909091,0.000247181
0,66,1.01866,0.0909091,0.000248304
0,67,1.01816,0.0909091,0.000246062
0,68,1.01767,0.0909091,0.000241065
0,69,1.0172,0.0909091,0.000234125
0,70,1.01675,0.0909091,0.000226208
0,71,1.01633,0.0909091,0.000218362
0,72,1.01593,0.0909091,0.000211631
0,73,1.01554,0.0909091,0.000206979
0,74,1.01517,0.0909091,0.000205211
0,75,1.01479,0.0909091,0.000206847
0,76,1.01441,0.0909091,0.000211982
0,77,1.014,0.0909091,0.000220378
0,78,1.01356,0.0909091,0.000231421
