x,y,rho,ux,uy
0,0,0.994973,0.0909091,-3.48698e-18
0,1,0.948583,0.0909091,0.0152737
0,2,0.939691,0.0909091,-0.000764557
0,3,0.943442,0.0909091,-0.000344434
0,4,0.94047,0.0909091,0.00165318
0,5,0.937326,0.0909091,0.000658561
0,6,0.937203,0.0909091,2.77142e-06
0,7,0.936844,0.0909091,0.000259929
0,8,0.93619,0.0909091,0.000230344
0,9,0.93589,0.0909091,6.88875e-05
0,10,0.935869,0.0909091,1.8329e-05
0,11,0.935855,0.0909091,9.00919e-06
0,12,0.935929,0.0909091,-3.78785e-05
0,13,0.936121,0.0909091,-8.0496e-05
0,14,0.936398,0.0909091,-0.000109402
0,15,0.93674,0.0909091,-0.000137053
0,16,0.937157,0.0909091,-0.000167345
0,17,0.937647,0.0909091,-0.000194894
0,18,0.938202,0.0909091,-0.000220444
0,19,0.938819,0.0909091,-0.000245406
0,20,0.939499,0.0909091,-0.000269688
0,21,0.940237,0.0909091,-0.000292632
0,22,0.941032,0.0909091,-0.000314392
0,23,0.941879,0.0909091,-0.000334939
0,24,0.942775,0.0909091,-0.000354044
0,25,0.943716,0.0909091,-0.000371452
0,26,0.944698,0.0909091,-0.000386994
0,27,0.945715,0.0909091,-0.000400442
0,28,0.946762,0.0909091,-0.000411552
0,29,0.947832,0.0909091,-0.000420097
0,30,0.948919,0.0909091,-0.000425874
0,31,0.950014,0.0909091,-0.000428701
0,32,0.951111,0.0909091,-0.000428427
0,33,0.952201,0.0909091,-0.000424948
0,34,0.953276,0.0909091,-0.000418208
0,35,0.954327,0.0909091,-0.000408201
0,36,0.955347,0.0909091,-0.000394975
0,37,0.956328,0.0909091,-0.000378628
0,38,0.957262,0.0909091,-0.000359302
0,39,0.958142,0.0909091,-0.000337182
0,40,0.958962,0.0909091,-0.000312482
0,41,0.959716,0.0909091,-0.000285442
0,42,0.960398,0.0909091,-0.000256312
0,43,0.961005,0.0909091,-0.000225352
0,44,0.96153,0.0909091,-0.000192818
0,45,0.961973,0.0909091,-0.00015896
0,46,0.962329,0.0909091,-0.000124019
0,47,0.962596,0.0909091,-8.82254e-05
0,48,0.962773,0.0909091,-5.1798e-05
0,49,0.962859,0.0909091,-1.49492e-05
0,50,0.962852,0.0909091,2.21128e-05
0,51,0.962753,0.0909091,5.9179e-05
0,52,0.962561,0.0909091,9.60345e-05
0,53,0.962277,0.0909091,0.000132454
0,54,0.961903,0.0909091,0.000168198
0,55,0.96144,0.0909091,0.00020301
0,56,0.960891,0.0909091,0.000236617
0,57,0.960259,0.0909091,0.000268731
0,58,0.959548,0.0909091,0.000299053
0,59,0.958762,0.0909091,0.000327279
0,60,0.957906,0.0909091,0.000353109
0,61,0.956987,0.0909091,0.000376259
0,62,0.956012,0.0909091,0.000396468
0,63,0.954988,0.0909091,0.000413515
0,64,0.953922,0.0909091,0.000427222
0,65,0.952824,0.0909091,0.000437468
0,66,0.951702,0.0909091,0.000444194
0,67,0.950566,0.0909091,0.000447402
0,68,0.949422,0.0909091,0.000447156
0,69,0.948282,0.0909091,0.000443582
0,70,0.947152,0.0909091,0.000436855
0,71,0.946041,0.0909091,0.000427194
0,72,0.944955,0.0909091,0.000414839
0,73,0.943903,0.0909091,0.000400063
0,74,0.942889,0.0909091,0.000383147
0,75,0.941919,0.0909091,0.000364359
0,76,0.940997,0.0909091,0.000343906
0,77,0.940128,0.0909091,0.000322071
0,78,0.939314,0.0909091,0.000299108
0,79,0.93856,0.0909091,0.000275063
0,80,0.937866,0.0909091,0.000249795
0,81,0.937237,0.0909091,0.000223968
0,82,0.936673,0.0909091,0.00019767
0,83,0.936176,0.0909091,0.000169484
0,84,0.935752,0.0909091,0.000138663
0,85,0.935405,0.0909091,0.000110579
0,86,0.935123,0.0909091,8.13099e-05
0,87,0.934928,0.0909091,3.83846e-05
0,88,0.934851,0.0909091,-8.74788e-06
0,89,0.934863,0.0909091,-1.82477e-05
0,90,0.934883,0.0909091,-6.9051e-05
0,91,0.935181,0.0909091,-0.0002308
0,92,0.935835,0.0909091,-0.000260456
0,93,0.936192,0.0909091,-3.18857e-06
0,94,0.936316,0.0909091,-0.000660182
0,95,0.939461,0.0909091,-0.0016556
0,96,0.942433,0.0909091,0.000345013
0,97,0.938681,0.0909091,0.000764183
0,98,0.947582,0.0909091,-0.015301
0,99,0.994005,0.0909091,-1.39615e-17
1,0,0.958198,0.0406845,0
1,1,0.948491,0.0995333,0.0283324
1,2,0.945557,0.100632,0.0212579
1,3,0.940971,0.0945602,0.012036
1,4,0.938421,0.0942982,0.00740832
1,5,0.93778,0.0935712,0.00530707
1,6,0.93701,0.0927117,0.00389004
1,7,0.936214,0.0927369,0.00292436
1,8,0.935829,0.0926797,0.00219129
1,9,0.935643,0.0925093,0.00164999
1,10,0.935531,0.0924085,0.00122662
1,11,0.935525,0.0923813,0.000874985
1,12,0.935638,0.0923203,0.000565038
1,13,0.935839,0.0922577,0.000297783
1,14,0.936119,0.0922062,5.94592e-05
1,15,0.936476,0.0921592,-0.000160331
1,16,0.936907,0.0921064,-0.000365958
1,17,0.937408,0.0920533,-0.000558273
1,18,0.937975,0.0920001,-0.000740742
1,19,0.938606,0.0919458,-0.000915417
1,20,0.939299,0.0918892,-0.00108289
1,21,0.940051,0.0918314,-0.00124326
1,22,0.940859,0.0917723,-0.00139681
1,23,0.941719,0.0917119,-0.00154327
1,24,0.942629,0.0916504,-0.00168194
1,25,0.943583,0.0915881,-0.00181197
1,26,0.944578,0.0915254,-0.00193233
1,27,0.945608,0.0914625,-0.00204183
1,28,0.946666,0.0913999,-0.00213909
1,29,0.947748,0.091338,-0.00222272
1,30,0.948845,0.0912772,-0.00229127
1,31,0.94995,0.0912179,-0.00234333
1,32,0.951055,0.0911606,-0.00237755
1,33,0.952153,0.0911056,-0.00239274
1,34,0.953235,0.0910532,-0.00238785
1,35,0.954293,0.0910038,-0.00236211
1,36,0.955318,0.0909576,-0.00231498
1,37,0.956304,0.0909147,-0.00224623
1,38,0.957242,0.0908754,-0.00215594
1,39,0.958126,0.0908397,-0.0020445
1,40,0.958949,0.0908075,-0.00191264
1,41,0.959705,0.0907788,-0.00176136
1,42,0.960389,0.0907535,-0.00159196
1,43,0.960997,0.0907316,-0.00140599
1,44,0.961524,0.0907129,-0.00120519
1,45,0.961968,0.0906973,-0.000991503
1,46,0.962325,0.0906847,-0.000767019
1,47,0.962593,0.0906748,-0.000533942
1,48,0.962771,0.0906678,-0.000294569
1,49,0.962857,0.0906635,-5.12633e-05
1,50,0.96285,0.0906619,0.000193566
1,51,0.962751,0.090663,0.000437483
1,52,0.962559,0.0906669,0.000678046
1,53,0.962275,0.0906737,0.000912823
1,54,0.961901,0.0906836,0.00113942
1,55,0.961437,0.0906966,0.00135549
1,56,0.960888,0.090713,0.0015588
1,57,0.960254,0.0907329,0.00174721
1,58,0.959541,0.0907564,0.00191879
1,59,0.958753,0.0907838,0.00207176
1,60,0.957895,0.090815,0.00220465
1,61,0.956974,0.0908502,0.00231623
1,62,0.955995,0.0908894,0.00240562
1,63,0.954966,0.0909325,0.00247229
1,64,0.953895,0.0909794,0.00251606
1,65,0.952791,0.0910299,0.00253713
1,66,0.951662,0.0910837,0.00253602
1,67,0.950517,0.0911404,0.00251361
1,68,0.949365,0.0911998,0.00247103
1,69,0.948215,0.0912613,0.00240963
1,70,0.947074,0.0913245,0.00233096
1,71,0.945951,0.0913889,0.00223663
1,72,0.944854,0.0914541,0.00212831
1,73,0.943788,0.0915195,0.00200762
1,74,0.942761,0.0915848,0.00187612
1,75,0.941777,0.0916496,0.00173523
1,76,0.940841,0.0917135,0.00158612
1,77,0.939957,0.0917762,0.00142978
1,78,0.93913,0.0918375,0.00126702
1,79,0.938361,0.0918975,0.00109819
1,80,0.937653,0.091956,0.000923064
1,81,0.93701,0.0920121,0.000741564
1,82,0.936433,0.092067,0.000553104
1,83,0.935923,0.0921218,0.000355619
1,84,0.935485,0.0921762,0.000145618
1,85,0.935122,0.0922246,-7.77832e-05
1,86,0.934838,0.0922776,-0.00031901
1,87,0.934633,0.0923415,-0.000588525
1,88,0.934516,0.0924038,-0.000900127
1,89,0.93452,0.0924322,-0.00125284
1,90,0.93463,0.0925343,-0.00167684
1,91,0.934814,0.0927058,-0.00221841
1,92,0.935198,0.0927639,-0.0029514
1,93,0.935994,0.0927394,-0.00391649
1,94,0.936763,0.0936007,-0.00533262
1,95,0.937404,0.0943287,-0.00743318
1,96,0.939956,0.0945903,-0.0120633
1,97,0.944543,0.100671,-0.0212903
1,98,0.947472,0.0995795,-0.0283638
1,99,0.957178,0.04072,-1.44986e-17
2,0,0.925057,0.00177608,3.75052e-18
2,1,0.944914,0.0978991,0.0239381
2,2,0.946209,0.109386,0.0294237
2,3,0.937169,0.104369,0.0198822
2,4,0.936773,0.10004,0.0130978
2,5,0.937903,0.0970758,0.0106527
2,6,0.936408,0.0958783,0.008039
2,7,0.935445,0.0954138,0.00581773
2,8,0.935438,0.094784,0.00473447
2,9,0.935347,0.0944347,0.0040095
2,10,0.935149,0.0942468,0.00325348
2,11,0.935179,0.0940758,0.00265493
2,12,0.935352,0.0938929,0.00222091
2,13,0.935566,0.0937615,0.00183714
2,14,0.93585,0.0936429,0.00148107
2,15,0.936229,0.0935241,0.00117126
2,16,0.93668,0.0934064,0.000894394
2,17,0.937194,0.0932945,0.000634178
2,18,0.937775,0.0931813,0.000388627
2,19,0.938423,0.0930662,0.000157655
2,20,0.93913,0.0929492,-6.25925e-05
2,21,0.939896,0.0928307,-0.000274523
2,22,0.940718,0.0927096,-0.000478378
2,23,0.941592,0.0925863,-0.000674248
2,24,0.942515,0.092461,-0.000862321
2,25,0.943482,0.0923342,-0.00104216
2,26,0.944489,0.0922061,-0.00121282
2,27,0.94553,0.0920775,-0.0013732
2,28,0.946599,0.091949,-0.00152196
2,29,0.947689,0.0918212,-0.00165754
2,30,0.948795,0.0916949,-0.00177825
2,31,0.949908,0.0915709,-0.00188228
2,32,0.95102,0.0914498,-0.00196786
2,33,0.952123,0.0913326,-0.00203325
2,34,0.953209,0.0912198,-0.0020768
2,35,0.954271,0.0911121,-0.0020971
2,36,0.955299,0.09101,-0.00209296
2,37,0.956287,0.0909142,-0.00206353
2,38,0.957226,0.0908248,-0.00200832
2,39,0.958111,0.0907424,-0.00192723
2,40,0.958934,0.090667,-0.0018206
2,41,0.95969,0.0905988,-0.00168921
2,42,0.960375,0.090538,-0.00153428
2,43,0.960982,0.0904845,-0.00135746
2,44,0.961509,0.0904384,-0.00116079
2,45,0.961952,0.0903995,-0.00094668
2,46,0.962309,0.0903678,-0.000717859
2,47,0.962577,0.0903434,-0.00047733
2,48,0.962755,0.0903261,-0.000228313
2,49,0.962841,0.0903159,2.5808e-05
2,50,0.962835,0.0903129,0.00028155
2,51,0.962736,0.0903171,0.000535384
2,52,0.962545,0.0903287,0.0007838
2,53,0.962262,0.0903476,0.00102337
2,54,0.961888,0.0903741,0.00125079
2,55,0.961426,0.0904083,0.00146297
2,56,0.960877,0.0904503,0.00165706
2,57,0.960245,0.0905003,0.00183052
2,58,0.959533,0.0905583,0.00198119
2,59,0.958745,0.0906243,0.00210727
2,60,0.957887,0.0906984,0.00220743
2,61,0.956966,0.0907803,0.00228077
2,62,0.955986,0.0908699,0.00232689
2,63,0.954956,0.0909668,0.00234582
2,64,0.953883,0.0910706,0.00233807
2,65,0.952776,0.0911807,0.00230453
2,66,0.951643,0.0912966,0.00224648
2,67,0.950492,0.0914175,0.00216548
2,68,0.949334,0.0915426,0.00206333
2,69,0.948176,0.091671,0.00194199
2,70,0.947026,0.091802,0.00180347
2,71,0.945893,0.0919346,0.00164979
2,72,0.944785,0.0920681,0.0014829
2,73,0.943707,0.0922016,0.00130458
2,74,0.942667,0.0923344,0.00111639
2,75,0.941669,0.0924659,0.000919624
2,76,0.94072,0.0925956,0.000715388
2,77,0.939821,0.0927231,0.000504259
2,78,0.938979,0.0928482,0.000286163
2,79,0.938195,0.0929704,6.10962e-05
2,80,0.937472,0.0930908,-0.000171119
2,81,0.936812,0.0932092,-0.000412849
2,82,0.93622,0.0933253,-0.000667916
2,83,0.935696,0.09344,-0.000936386
2,84,0.935238,0.0935604,-0.00122026
2,85,0.934852,0.0936815,-0.00153584
2,86,0.934563,0.0938025,-0.00189645
2,87,0.934344,0.0939361,-0.0022835
2,88,0.934167,0.0941211,-0.0027197
2,89,0.934134,0.0942939,-0.00331942
2,90,0.93433,0.0944836,-0.00407539
2,91,0.934419,0.0948348,-0.00479906
