x,y,rho,ux,uy
0,0,0.927147,0.0909091,-7.48414e-18
0,1,0.884384,0.0909091,0.0150798
0,2,0.876404,0.0909091,-0.000939741
0,3,0.880357,0.0909091,-0.000535405
0,4,0.877918,0.0909091,0.00149166
0,5,0.875343,0.0909091,0.000485018
0,6,0.875577,0.0909091,-0.000166098
0,7,0.875581,0.0909091,9.45211e-05
0,8,0.875291,0.0909091,6.40322e-05
0,9,0.875342,0.0909091,-9.99609e-05
0,10,0.875642,0.0909091,-0.000147364
0,11,0.875938,0.0909091,-0.000154542
0,12,0.876306,0.0909091,-0.000199243
0,13,0.876774,0.0909091,-0.000237517
0,14,0.877304,0.0909091,-0.000259898
0,15,0.877875,0.0909091,-0.000280077
0,16,0.878495,0.0909091,-0.000301306
0,17,0.879156,0.0909091,-0.000317948
0,18,0.879848,0.0909091,-0.000331043
0,19,0.880566,0.0909091,-0.00034225
0,20,0.881308,0.0909091,-0.000351452
0,21,0.882066,0.0909091,-0.000358171
0,22,0.882838,0.0909091,-0.000362829
0,23,0.883617,0.0909091,-0.000365637
0,24,0.884401,0.0909091,-0.000366603
0,25,0.885186,0.0909091,-0.000365774
0,26,0.885967,0.0909091,-0.000363291
0,27,0.886741,0.0909091,-0.000359235
0,28,0.887505,0.0909091,-0.000353673
0,29,0.888256,0.0909091,-0.000346684
0,30,0.888991,0.0909091,-0.000338352
0,31,0.889707,0.0909091,-0.000328751
0,32,0.890402,0.0909091,-0.000317954
0,33,0.891072,0.0909091,-0.000306035
0,34,0.891716,0.0909091,-0.000293064
0,35,0.892331,0.0909091,-0.000279111
0,36,0.892915,0.0909091,-0.000264245
0,37,0.893467,0.0909091,-0.000248531
0,38,0.893985,0.0909091,-0.000232035
0,39,0.894466,0.0909091,-0.00021482
0,40,0.89491,0.0909091,-0.000196949
0,41,0.895316,0.0909091,-0.000178485
0,42,0.895681,0.0909091,-0.000159487
0,43,0.896005,0.0909091,-0.000140018
0,44,0.896287,0.0909091,-0.000120138
0,45,0.896525,0.0909091,-9.99087e-05
0,46,0.89672,0.0909091,-7.93906e-05
0,47,0.896871,0.0909091,-5.86453e-05
0,48,0.896976,0.0909091,-3.77347e-05
0,49,0.897037,0.0909091,-1.67207e-05
0,50,0.897052,0.0909091,4.33459e-06
0,51,0.897021,0.0909091,2.5369e-05
0,52,0.896946,0.0909091,4.63204e-05
0,53,0.896825,0.0909091,6.71272e-05
0,54,0.896659,0.0909091,8.77279e-05
0,55,0.89645,0.0909091,0.000108062
0,56,0.896197,0.0909091,0.000128068
0,57,0.895901,0.0909091,0.000147686
0,58,0.895563,0.0909091,0.000166856
0,59,0.895185,0.0909091,0.00018552
0,60,0.894768,0.0909091,0.000203615
0,61,0.894312,0.0909091,0.000221082
0,62,0.893819,0.0909091,0.000237858
0,63,0.893292,0.0909091,0.000253881
0,64,0.892731,0.0909091,0.000269087
0,65,0.892139,0.0909091,0.000283407
0,66,0.891517,0.0909091,0.000296774
0,67,0.890868,0.0909091,0.000309117
0,68,0.890193,0.0909091,0.000320361
0,69,0.889496,0.0909091,0.00033043
0,70,0.888779,0.0909091,0.000339248
0,71,0.888045,0.0909091,0.000346738
0,72,0.887297,0.0909091,0.000352812
0,73,0.886537,0.0909091,0.000357386
0,74,0.885769,0.0909091,0.00036039
0,75,0.884997,0.0909091,0.000361739
0,76,0.884224,0.0909091,0.000361292
0,77,0.883454,0.0909091,0.000358998
0,78,0.882692,0.0909091,0.00035485
0,79,0.88194,0.0909091,0.000348634
0,80,0.881205,0.0909091,0.000339929
0,81,0.880492,0.0909091,0.000329214
0,82,0.879803,0.0909091,0.000316604
0,83,0.879145,0.0909091,0.000300437
0,84,0.878527,0.0909091,0.00027967
0,85,0.877956,0.0909091,0.000259942
0,86,0.877425,0.0909091,0.000237994
0,87,0.876956,0.0909091,0.000200115
0,88,0.876585,0.0909091,0.000155777
0,89,0.876286,0.0909091,0.000148935
0,90,0.875982,0.0909091,0.000101825
0,91,0.875927,0.0909091,-6.19663e-05
0,92,0.876212,0.0909091,-9.22816e-05
0,93,0.876203,0.0909091,0.000168424
0,94,0.875964,0.0909091,-0.00048231
0,95,0.878534,0.0909091,-0.00148877
0,96,0.880969,0.0909091,0.000537235
0,97,0.87701,0.0909091,0.00094204
0,98,0.884981,0.0909091,-0.0150602
0,99,0.927711,0.0909091,0
1,0,0.893433,0.0401215,7.76656e-18
1,1,0.884924,0.0973128,0.027271
1,2,0.882604,0.0983269,0.0200074
1,3,0.878686,0.0921917,0.0105458
1,4,0.876639,0.0919719,0.00570417
1,5,0.876392,0.0912264,0.00344311
1,6,0.876006,0.0903932,0.00190552
1,7,0.875584,0.0904574,0.000805472
1,8,0.875544,0.090433,-5.96136e-05
1,9,0.875685,0.0902923,-0.000720596
1,10,0.875884,0.0902355,-0.00125357
1,11,0.876173,0.0902528,-0.00170625
1,12,0.876565,0.0902369,-0.00210176
1,13,0.877024,0.0902239,-0.00243759
1,14,0.877539,0.0902275,-0.00272798
1,15,0.878106,0.0902381,-0.00298241
1,16,0.87872,0.090246,-0.0032039
1,17,0.879371,0.0902577,-0.00339358
1,18,0.880054,0.090273,-0.00355542
1,19,0.880765,0.0902901,-0.0036917
1,20,0.881497,0.090308,-0.00380352
1,21,0.882246,0.0903276,-0.00389197
1,22,0.883008,0.0903484,-0.00395841
1,23,0.883778,0.0903701,-0.00400375
1,24,0.884552,0.0903925,-0.00402873
1,25,0.885327,0.0904155,-0.00403411
1,26,0.886098,0.090439,-0.00402064
1,27,0.886863,0.0904628,-0.00398899
1,28,0.887618,0.0904867,-0.00393982
1,29,0.888359,0.0905106,-0.00387379
1,30,0.889085,0.0905344,-0.00379159
1,31,0.889792,0.0905579,-0.00369389
1,32,0.890478,0.0905809,-0.00358139
1,33,0.891139,0.0906034,-0.00345482
1,34,0.891775,0.0906251,-0.0033149
1,35,0.892382,0.090646,-0.00316241
1,36,0.89296,0.090666,-0.0029981
1,37,0.893505,0.0906849,-0.00282279
1,38,0.894016,0.0907026,-0.00263729
1,39,0.894492,0.090719,-0.00244241
1,40,0.89493,0.0907341,-0.00223898
1,41,0.895331,0.0907478,-0.00202786
1,42,0.895692,0.0907599,-0.00180988
1,43,0.896012,0.0907706,-0.00158589
1,44,0.89629,0.0907796,-0.00135671
1,45,0.896526,0.0907871,-0.0011232
1,46,0.896719,0.0907929,-0.000886163
1,47,0.896868,0.0907971,-0.000646422
1,48,0.896973,0.0907997,-0.000404779
1,49,0.897033,0.0908005,-0.000162026
1,50,0.897048,0.0907998,8.10527e-05
1,51,0.897018,0.0907974,0.000323686
1,52,0.896944,0.0907934,0.000565107
1,53,0.896825,0.0907877,0.000804555
1,54,0.896662,0.0907805,0.00104127
1,55,0.896455,0.0907718,0.00127451
1,56,0.896206,0.0907614,0.00150349
1,57,0.895914,0.0907496,0.00172747
1,58,0.895581,0.0907364,0.00194566
1,59,0.895208,0.0907217,0.0021573
1,60,0.894796,0.0907056,0.00236159
1,61,0.894346,0.0906882,0.00255774
1,62,0.89386,0.0906696,0.00274494
1,63,0.89334,0.0906499,0.00292239
1,64,0.892786,0.0906291,0.00308928
1,65,0.892202,0.0906073,0.00324478
1,66,0.891588,0.0905847,0.00338809
1,67,0.890947,0.0905614,0.0035184
1,68,0.890282,0.0905375,0.00363491
1,69,0.889594,0.0905131,0.00373683
1,70,0.888886,0.0904883,0.0038234
1,71,0.888162,0.0904635,0.00389386
1,72,0.887423,0.0904386,0.00394747
1,73,0.886673,0.0904138,0.00398349
1,74,0.885915,0.0903893,0.00400122
1,75,0.885153,0.0903653,0.00399995
1,76,0.88439,0.090342,0.00397889
1,77,0.88363,0.0903194,0.00393727
1,78,0.882877,0.0902977,0.00387436
1,79,0.882136,0.0902773,0.00378923
1,80,0.88141,0.0902587,0.00368054
1,81,0.880705,0.0902409,0.00354721
1,82,0.880026,0.090225,0.00338817
1,83,0.879377,0.0902128,0.00320113
1,84,0.878765,0.0902044,0.00298215
1,85,0.878198,0.0901935,0.00273007
1,86,0.877683,0.0901896,0.00244188
1,87,0.877222,0.0902024,0.0021081
1,88,0.876828,0.0902181,0.00171445
1,89,0.876536,0.0902008,0.00126342
1,90,0.876333,0.0902575,0.00073188
1,91,0.876188,0.0903982,7.20936e-05
1,92,0.876223,0.0904226,-0.000792007
1,93,0.876641,0.0903584,-0.0018913
1,94,0.877022,0.0911912,-0.00342838
1,95,0.877264,0.0919366,-0.00568919
1,96,0.879306,0.0921564,-0.010529
1,97,0.883219,0.0982865,-0.0199866
1,98,0.885538,0.097267,-0.0272476
1,99,0.894041,0.0400942,0
2,0,0.863901,0.00114467,0
2,1,0.88255,0.0936712,0.0224234
2,2,0.884066,0.104997,0.0273599
2,3,0.875897,0.099902,0.0172717
2,4,0.875871,0.0955586,0.01005
2,5,0.877246,0.0925835,0.00721246
2,6,0.876141,0.0914429,0.00417958
2,7,0.875546,0.0910217,0.00157694
2,8,0.875855,0.0904501,0.00015472
2,9,0.876058,0.0901712,-0.000913934
2,10,0.876153,0.0900586,-0.0020026
2,11,0.876462,0.0899591,-0.00289931
2,12,0.87689,0.0898573,-0.00360298
2,13,0.877338,0.0898148,-0.00423192
2,14,0.877836,0.0897899,-0.00480049
2,15,0.878404,0.0897705,-0.00528717
2,16,0.879013,0.0897601,-0.00570739
2,17,0.879653,0.0897624,-0.006077
2,18,0.880326,0.0897697,-0.00639646
2,19,0.881027,0.0897814,-0.00666622
2,20,0.881748,0.0897977,-0.00689108
2,21,0.882486,0.0898181,-0.0070739
2,22,0.883236,0.0898412,-0.00721564
2,23,0.883994,0.0898667,-0.00731769
2,24,0.884757,0.0898943,-0.00738174
2,25,0.885519,0.0899236,-0.00740901
2,26,0.886279,0.0899543,-0.00740052
2,27,0.887032,0.0899859,-0.0073574
2,28,0.887775,0.0900183,-0.00728079
2,29,0.888505,0.0900512,-0.00717178
2,30,0.88922,0.0900842,-0.0070315
2,31,0.889916,0.0901172,-0.00686112
2,32,0.890591,0.0901498,-0.00666189
2,33,0.891243,0.0901818,-0.00643506
2,34,0.891869,0.0902131,-0.00618199
2,35,0.892467,0.0902433,-0.00590406
2,36,0.893035,0.0902722,-0.00560272
2,37,0.893572,0.0902998,-0.00527948
2,38,0.894076,0.0903257,-0.00493589
2,39,0.894545,0.0903498,-0.00457353
2,40,0.894977,0.0903721,-0.00419402
2,41,0.895372,0.0903923,-0.00379902
2,42,0.895728,0.0904103,-0.00339019
2,43,0.896044,0.0904261,-0.0029692
2,44,0.896318,0.0904395,-0.00253773
2,45,0.896551,0.0904506,-0.00209747
2,46,0.896742,0.0904592,-0.00165006
2,47,0.896889,0.0904653,-0.00119717
2,48,0.896992,0.0904689,-0.000740425
2,49,0.897052,0.09047,-0.000281449
2,50,0.897067,0.0904686,0.00017816
2,51,0.897038,0.0904647,0.000636816
2,52,0.896965,0.0904583,0.00109295
2,53,0.896849,0.0904495,0.00154499
2,54,0.896688,0.0904382,0.0019914
2,55,0.896485,0.0904245,0.00243061
2,56,0.896239,0.0904085,0.00286109
2,57,0.895952,0.0903903,0.00328126
2,58,0.895624,0.0903699,0.00368959
2,59,0.895257,0.0903474,0.0040845
2,60,0.894851,0.090323,0.00446444
2,61,0.894408,0.0902966,0.00482783
2,62,0.89393,0.0902686,0.00517312
2,63,0.893418,0.090239,0.00549874
2,64,0.892873,0.090208,0.00580315
2,65,0.892298,0.0901758,0.00608483
2,66,0.891694,0.0901426,0.00634229
2,67,0.891063,0.0901086,0.00657405
2,68,0.890408,0.090074,0.00677869
2,69,0.889731,0.0900391,0.00695483
2,70,0.889035,0.0900041,0.00710114
2,71,0.888322,0.0899693,0.00721632
2,72,0.887595,0.089935,0.00729913
2,73,0.886857,0.0899015,0.00734838
2,74,0.886112,0.089869,0.00736284
2,75,0.885362,0.0898379,0.00734132
2,76,0.884611,0.0898086,0.00728274
2,77,0.883863,0.0897815,0.00718584
2,78,0.883122,0.0897569,0.00704892
2,79,0.882392,0.0897351,0.00687058
2,80,0.881677,0.0897175,0.00664987
2,81,0.880982,0.0897046,0.00638394
2,82,0.880313,0.0896963,0.00606802
2,83,0.879676,0.089693,0.00570167
2,84,0.879069,0.0897027,0.00528448
2,85,0.878502,0.0897214,0.00480058
2,86,0.878004,0.0897458,0.00423459
2,87,0.877555,0.089788,0.00360802
2,88,0.877124,0.0898894,0.00290654
