x,y,rho,ux,uy
0,0,0.813402,0.0909091,0
0,1,0.775286,0.0909091,0.0153251
0,2,0.768175,0.0909091,-0.00096244
0,3,0.771714,0.0909091,-0.000555188
0,4,0.769528,0.0909091,0.00152891
0,5,0.767169,0.0909091,0.000529328
0,6,0.767273,0.0909091,-0.00011644
0,7,0.767143,0.0909091,0.00016333
0,8,0.76672,0.0909091,0.000147445
0,9,0.766571,0.0909091,-5.81156e-06
0,10,0.766616,0.0909091,-4.08208e-05
0,11,0.766631,0.0909091,-3.61317e-05
0,12,0.766688,0.0909091,-7.06778e-05
0,13,0.766811,0.0909091,-9.94114e-05
0,14,0.766969,0.0909091,-0.000112665
0,15,0.767145,0.0909091,-0.000124658
0,16,0.767348,0.0909091,-0.000138535
0,17,0.767571,0.0909091,-0.000148478
0,18,0.76781,0.0909091,-0.000155611
0,19,0.76806,0.0909091,-0.000161655
0,20,0.768321,0.0909091,-0.000166443
0,21,0.768588,0.0909091,-0.000169495
0,22,0.76886,0.0909091,-0.000171262
0,23,0.769135,0.0909091,-0.000171961
0,24,0.76941,0.0909091,-0.000171595
0,25,0.769684,0.0909091,-0.000170218
0,26,0.769956,0.0909091,-0.000167975
0,27,0.770223,0.0909091,-0.000164946
0,28,0.770486,0.0909091,-0.000161193
0,29,0.770742,0.0909091,-0.000156791
0,30,0.77099,0.0909091,-0.000151816
0,31,0.77123,0.0909091,-0.000146328
0,32,0.771461,0.0909091,-0.000140386
0,33,0.771683,0.0909091,-0.000134046
0,34,0.771893,0.0909091,-0.00012736
0,35,0.772093,0.0909091,-0.000120374
0,36,0.772281,0.0909091,-0.000113129
0,37,0.772458,0.0909091,-0.000105664
0,38,0.772622,0.0909091,-9.80128e-05
0,39,0.772774,0.0909091,-9.02053e-05
0,40,0.772914,0.0909091,-8.22678e-05
0,41,0.77304,0.0909091,-7.4223e-05
0,42,0.773154,0.0909091,-6.60905e-05
0,43,0.773254,0.0909091,-5.78869e-05
0,44,0.773341,0.0909091,-4.96261e-05
0,45,0.773415,0.0909091,-4.13197e-05
0,46,0.773476,0.0909091,-3.29773e-05
0,47,0.773523,0.0909091,-2.46066e-05
0,48,0.773557,0.0909091,-1.62141e-05
0,49,0.773578,0.0909091,-7.80542e-06
0,50,0.773585,0.0909091,6.14818e-07
0,51,0.773578,0.0909091,9.04208e-06
0,52,0.773558,0.0909091,1.74718e-05
0,53,0.773525,0.0909091,2.5899e-05
0,54,0.773478,0.0909091,3.43177e-05
0,55,0.773417,0.0909091,4.27208e-05
0,56,0.773343,0.0909091,5.10994e-05
0,57,0.773256,0.0909091,5.94424e-05
0,58,0.773155,0.0909091,6.77364e-05
0,59,0.773042,0.0909091,7.59648e-05
0,60,0.772915,0.0909091,8.41076e-05
0,61,0.772775,0.0909091,9.21411e-05
0,62,0.772622,0.0909091,0.000100038
0,63,0.772457,0.0909091,0.000107765
0,64,0.772279,0.0909091,0.000115286
0,65,0.77209,0.0909091,0.000122559
0,66,0.771889,0.0909091,0.000129538
0,67,0.771677,0.0909091,0.000136172
0,68,0.771454,0.0909091,0.000142404
0,69,0.771222,0.0909091,0.000148172
0,70,0.770981,0.0909091,0.000153413
0,71,0.770732,0.0909091,0.00015806
0,72,0.770477,0.0909091,0.000162033
0,73,0.770215,0.0909091,0.000165254
0,74,0.769949,0.0909091,0.000167656
0,75,0.769681,0.0909091,0.000169159
0,76,0.769411,0.0909091,0.000169618
0,77,0.769141,0.0909091,0.000168979
0,78,0.768874,0.0909091,0.000167241
0,79,0.768612,0.0909091,0.000164195
0,80,0.768357,0.0909091,0.000159393
0,81,0.768112,0.0909091,0.00015332
0,82,0.767878,0.0909091,0.000146151
0,83,0.76766,0.0909091,0.00013618
0,84,0.767463,0.0909091,0.000122288
0,85,0.767293,0.0909091,0.00011028
0,86,0.76714,0.0909091,9.7038e-05
0,87,0.767023,0.0909091,6.84124e-05
0,88,0.766971,0.0909091,3.3986e-05
0,89,0.766961,0.0909091,3.86378e-05
0,90,0.766922,0.0909091,3.88134e-06
0,91,0.767076,0.0909091,-0.000148573
0,92,0.767502,0.0909091,-0.000164661
0,93,0.767637,0.0909091,0.000113794
0,94,0.767539,0.0909091,-0.000527628
0,95,0.76989,0.0909091,-0.00152385
0,96,0.772076,0.0909091,0.000544893
0,97,0.768569,0.0909091,0.000955819
0,98,0.775632,0.0909091,-0.0152163
0,99,0.813499,0.0909091,-8.52968e-18
1,0,0.78315,0.0403604,-4.43012e-18
1,1,0.775713,0.0971756,0.0272622
1,2,0.773763,0.0980461,0.0200021
1,3,0.770291,0.0918014,0.0105103
1,4,0.76842,0.0916096,0.00567949
1,5,0.768131,0.0908611,0.00349024
1,6,0.767686,0.0900328,0.00204315
1,7,0.767172,0.0901217,0.0010245
1,8,0.766966,0.0901201,0.000234178
1,9,0.766893,0.0899989,-0.000353117
1,10,0.766844,0.0899662,-0.000815212
1,11,0.76685,0.0900097,-0.00120193
1,12,0.766922,0.0900197,-0.00153512
1,13,0.767033,0.0900335,-0.00181153
1,14,0.767173,0.0900653,-0.00204567
1,15,0.76734,0.0901046,-0.00224693
1,16,0.767532,0.0901416,-0.00241799
1,17,0.767743,0.0901828,-0.00256001
1,18,0.767968,0.0902279,-0.00267711
1,19,0.768206,0.0902748,-0.00277166
1,20,0.768453,0.0903224,-0.00284489
1,21,0.768708,0.0903715,-0.00289811
1,22,0.768966,0.0904215,-0.00293294
1,23,0.769228,0.0904719,-0.00295052
1,24,0.76949,0.0905223,-0.00295188
1,25,0.769752,0.0905726,-0.00293805
1,26,0.770011,0.0906225,-0.00291006
1,27,0.770266,0.0906718,-0.00286883
1,28,0.770516,0.0907203,-0.00281526
1,29,0.770761,0.0907677,-0.00275023
1,30,0.770998,0.0908138,-0.00267459
1,31,0.771227,0.0908586,-0.00258916
1,32,0.771448,0.0909018,-0.00249473
1,33,0.771659,0.0909432,-0.00239205
1,34,0.77186,0.0909829,-0.00228186
1,35,0.772051,0.0910205,-0.00216484
1,36,0.772231,0.0910561,-0.00204164
1,37,0.7724,0.0910895,-0.00191289
1,38,0.772557,0.0911207,-0.00177917
1,39,0.772702,0.0911495,-0.00164101
1,40,0.772836,0.0911759,-0.00149894
1,41,0.772957,0.0911998,-0.00135342
1,42,0.773065,0.0912212,-0.00120488
1,43,0.773161,0.09124,-0.00105375
1,44,0.773245,0.0912562,-0.000900392
1,45,0.773316,0.0912698,-0.000745168
1,46,0.773374,0.0912807,-0.000588409
1,47,0.773419,0.0912889,-0.00043043
1,48,0.773452,0.0912943,-0.000271531
1,49,0.773472,0.0912971,-0.000112004
1,50,0.773479,0.0912971,4.78643e-05
1,51,0.773473,0.0912943,0.000207786
1,52,0.773454,0.0912888,0.00036747
1,53,0.773422,0.0912806,0.000526614
1,54,0.773378,0.0912697,0.000684905
1,55,0.77332,0.091256,0.000842007
1,56,0.77325,0.0912396,0.000997566
1,57,0.773167,0.0912206,0.0011512
1,58,0.773072,0.091199,0.00130249
1,59,0.772963,0.0911748,0.00145101
1,60,0.772843,0.091148,0.00159626
1,61,0.772709,0.0911188,0.00173773
1,62,0.772564,0.0910872,0.00187487
1,63,0.772407,0.0910534,0.00200709
1,64,0.772237,0.0910173,0.00213376
1,65,0.772057,0.090979,0.00225421
1,66,0.771865,0.0909388,0.00236774
1,67,0.771663,0.0908968,0.00247363
1,68,0.771452,0.090853,0.0025711
1,69,0.771231,0.0908076,0.00265937
1,70,0.771001,0.0907609,0.00273763
1,71,0.770764,0.0907129,0.00280504
1,72,0.77052,0.0906638,0.00286075
1,73,0.770271,0.0906139,0.00290388
1,74,0.770018,0.0905634,0.00293353
1,75,0.769762,0.0905125,0.00294882
1,76,0.769506,0.0904615,0.00294872
1,77,0.769249,0.0904106,0.00293224
1,78,0.768996,0.0903599,0.0028984
1,79,0.768747,0.0903102,0.00284608
1,80,0.768504,0.0902618,0.00277369
1,81,0.768272,0.0902142,0.00267996
1,82,0.768052,0.0901683,0.00256368
1,83,0.767847,0.0901262,0.00242251
1,84,0.76766,0.0900883,0.00225234
1,85,0.767499,0.090048,0.002052
1,86,0.767365,0.0900151,0.0018188
1,87,0.76726,0.09,0.00154338
1,88,0.767193,0.0899889,0.00121124
1,89,0.767194,0.0899444,0.000825489
1,90,0.767248,0.0899755,0.00036427
1,91,0.767326,0.0900948,-0.000221808
1,92,0.767537,0.0900959,-0.00101037
1,93,0.768054,0.0900072,-0.00202813
1,94,0.768503,0.0908299,-0.00347568
1,95,0.768797,0.0915743,-0.00566186
1,96,0.77066,0.0917711,-0.0104723
1,97,0.774126,0.0979722,-0.0199302
1,98,0.776099,0.0970653,-0.0271801
1,99,0.783527,0.0402306,8.85598e-18
2,0,0.757244,0.00107689,0
2,1,0.773688,0.0932888,0.0222487
2,2,0.775053,0.104431,0.0271036
2,3,0.767794,0.0991993,0.0169477
2,4,0.767735,0.0948311,0.00975442
2,5,0.768877,0.0918409,0.00699541
2,6,0.76778,0.0907257,0.00402158
2,7,0.767108,0.0903427,0.00148316
2,8,0.76721,0.0898111,0.000141044
2,9,0.767186,0.0895777,-0.000854228
2,10,0.767039,0.089515,-0.00187912
2,11,0.767058,0.0894655,-0.00271285
2,12,0.767159,0.0894156,-0.00335424
2,13,0.767254,0.0894272,-0.00392397
2,14,0.767375,0.0894575,-0.00443476
2,15,0.767538,0.0894942,-0.00486382
2,16,0.767722,0.089541,-0.00522709
2,17,0.767918,0.0896015,-0.00554063
2,18,0.76813,0.0896674,-0.00580463
2,19,0.768356,0.089738,-0.00601985
2,20,0.768589,0.0898133,-0.00619158
2,21,0.768829,0.0898925,-0.00632306
2,22,0.769074,0.0899739,-0.0064157
2,23,0.769322,0.0900571,-0.00647144
2,24,0.76957,0.0901415,-0.00649256
2,25,0.769818,0.0902265,-0.00648082
2,26,0.770064,0.0903114,-0.0064378
2,27,0.770306,0.0903959,-0.00636521
2,28,0.770543,0.0904795,-0.00626471
2,29,0.770775,0.0905617,-0.00613787
2,30,0.771,0.0906422,-0.00598623
2,31,0.771218,0.0907207,-0.00581134
2,32,0.771427,0.0907967,-0.00561472
2,33,0.771628,0.09087,-0.00539784
2,34,0.771819,0.0909402,-0.00516215
2,35,0.772001,0.0910073,-0.00490907
2,36,0.772172,0.0910709,-0.00463997
2,37,0.772332,0.0911307,-0.00435619
2,38,0.772482,0.0911867,-0.00405902
2,39,0.77262,0.0912385,-0.00374971
2,40,0.772747,0.0912862,-0.00342946
2,41,0.772862,0.0913294,-0.00309944
2,42,0.772966,0.0913682,-0.00276075
2,43,0.773057,0.0914023,-0.00241447
2,44,0.773137,0.0914317,-0.00206163
2,45,0.773205,0.0914563,-0.00170325
2,46,0.77326,0.091476,-0.00134029
2,47,0.773304,0.0914908,-0.00097371
2,48,0.773335,0.0915006,-0.000604437
2,49,0.773354,0.0915055,-0.000233396
2,50,0.773361,0.0915052,0.000138492
2,51,0.773356,0.0915,0.000510308
2,52,0.773338,0.0914897,0.000881119
2,53,0.773308,0.0914745,0.00124998
2,54,0.773266,0.0914543,0.00161591
2,55,0.773212,0.0914291,0.00197793
