x,y,rho,ux,uy
0,0,1.11301,0.0909091,6.23437e-18
0,1,1.06496,0.0909091,0.014089
0,2,1.05552,0.0909091,-0.000553994
0,3,1.0588,0.0909091,-5.63084e-05
0,4,1.055,0.0909091,0.00180397
0,5,1.05102,0.0909091,0.000901877
0,6,1.05009,0.0909091,0.000343266
0,7,1.04878,0.0909091,0.000638043
0,8,1.04703,0.0909091,0.000666274
0,9,1.0455,0.0909091,0.000573179
0,10,1.04411,0.0909091,0.000584412
0,11,1.04259,0.0909091,0.00063467
0,12,1.041,0.0909091,0.000648307
0,13,1.03938,0.0909091,0.000663553
0,14,1.03771,0.0909091,0.000688922
0,15,1.03597,0.0909091,0.000712223
0,16,1.03418,0.0909091,0.000729082
0,17,1.03235,0.0909091,0.000744272
0,18,1.03049,0.0909091,0.000756913
0,19,1.02859,0.0909091,0.000765566
0,20,1.02667,0.0909091,0.000770325
0,21,1.02475,0.0909091,0.000771939
0,22,1.02283,0.0909091,0.000770412
0,23,1.02091,0.0909091,0.000765956
0,24,1.01902,0.0909091,0.000758968
0,25,1.01714,0.0909091,0.000749833
0,26,1.0153,0.0909091,0.000738808
0,27,1.01348,0.0909091,0.000726146
0,28,1.01171,0.0909091,0.000712056
0,29,1.00998,0.0909091,0.000696671
0,30,1.00829,0.0909091,0.000680052
0,31,1.00665,0.0909091,0.000662205
0,32,1.00506,0.0909091,0.000643077
0,33,1.00352,0.0909091,0.000622564
0,34,1.00203,0.0909091,0.000600525
0,35,1.00061,0.0909091,0.000576786
0,36,0.999247,0.0909091,0.000551163
0,37,0.997952,0.0909091,0.000523466
0,38,0.996729,0.0909091,0.000493518
0,39,0.995581,0.0909091,0.000461171
0,40,0.994516,0.0909091,0.000426316
0,41,0.993539,0.0909091,0.000388895
0,42,0.992655,0.0909091,0.000348912
0,43,0.991872,0.0909091,0.000306441
0,44,0.991193,0.0909091,0.000261625
0,45,0.990625,0.0909091,0.000214681
0,46,0.990173,0.0909091,0.000165891
0,47,0.989841,0.0909091,0.000115603
0,48,0.989631,0.0909091,6.4217e-05
0,49,0.989546,0.0909091,1.21748e-05
