x,y,rho,ux,uy
0,0,1.06028,0.0909091,-6.54442e-18
0,1,1.01104,0.0909091,0.0151754
0,2,1.0017,0.0909091,-0.000854458
0,3,1.00592,0.0909091,-0.000406493
0,4,1.00269,0.0909091,0.00168749
0,5,0.999133,0.0909091,0.000741463
0,6,0.998658,0.0909091,0.000140693
0,7,0.997789,0.0909091,0.000456763
0,8,0.996448,0.0909091,0.000480381
0,9,0.995369,0.0909091,0.000364831
0,10,0.99446,0.0909091,0.000363589
0,11,0.99344,0.0909091,0.000399653
0,12,0.992406,0.0909091,0.000393107
0,13,0.9914,0.0909091,0.000388315
0,14,0.990395,0.0909091,0.000395002
0,15,0.989377,0.0909091,0.000398899
0,16,0.988367,0.0909091,0.000396637
0,17,0.98737,0.0909091,0.000394187
0,18,0.986385,0.0909091,0.000390627
0,19,0.985418,0.0909091,0.00038448
0,20,0.984472,0.0909091,0.000376258
0,21,0.983552,0.0909091,0.000366897
0,22,0.982657,0.0909091,0.000356426
0,23,0.981788,0.0909091,0.000345161
0,24,0.980944,0.0909091,0.000333663
0,25,0.980123,0.0909091,0.000322432
0,26,0.979323,0.0909091,0.000311836
0,27,0.978538,0.0909091,0.000302242
0,28,0.977766,0.0909091,0.000293926
0,29,0.977002,0.0909091,0.000287022
0,30,0.976242,0.0909091,0.000281509
0,31,0.975484,0.0909091,0.000277229
0,32,0.974725,0.0909091,0.000273882
0,33,0.973965,0.0909091,0.000271058
0,34,0.973205,0.0909091,0.00026827
0,35,0.972448,0.0909091,0.000265006
0,36,0.971698,0.0909091,0.000260765
0,37,0.97096,0.0909091,0.000255097
0,38,0.970239,0.0909091,0.000247633
0,39,0.969543,0.0909091,0.000238097
0,40,0.968878,0.0909091,0.000226319
0,41,0.968251,0.0909091,0.000212229
0,42,0.96767,0.0909091,0.000195848
0,43,0.967139,0.0909091,0.000177274
0,44,0.966666,0.0909091,0.00015667
0,45,0.966255,0.0909091,0.000134252
0,46,0.965911,0.0909091,0.000110268
0,47,0.965638,0.0909091,8.49965e-05
0,48,0.965438,0.0909091,5.87306e-05
0,49,0.965314,0.0909091,3.17752e-05
0,50,0.965268,0.0909091,4.43969e-06
0,51,0.965299,0.0909091,-2.2966e-05
0,52,0.965408,0.0909091,-5.01362e-05
0,53,0.965593,0.0909091,-7.67738e-05
0,54,0.965853,0.0909091,-0.000102596
0,55,0.966185,0.0909091,-0.000127343
0,56,0.966586,0.0909091,-0.000150781
0,57,0.967052,0.0909091,-0.000172718
0,58,0.967579,0.0909091,-0.00019301
0,59,0.96816,0.0909091,-0.00021157
0,60,0.968792,0.0909091,-0.000228381
0,61,0.969469,0.0909091,-0.000243495
0,62,0.970185,0.0909091,-0.000257043
0,63,0.970934,0.0909091,-0.000269222
0,64,0.971712,0.0909091,-0.000280292
0,65,0.972516,0.0909091,-0.000290552
0,66,0.97334,0.0909091,-0.00030032
0,67,0.974183,0.0909091,-0.000309904
0,68,0.975042,0.0909091,-0.000319577
0,69,0.975918,0.0909091,-0.000329548
0,70,0.97681,0.0909091,-0.000339946
0,71,0.977718,0.0909091,-0.000350803
0,72,0.978645,0.0909091,-0.000362071
0,73,0.979591,0.0909091,-0.000373612
0,74,0.980557,0.0909091,-0.000385201
0,75,0.981545,0.0909091,-0.000396574
0,76,0.982556,0.0909091,-0.000407506
0,77,0.983589,0.0909091,-0.000417662
0,78,0.984644,0.0909091,-0.000426651
0,79,0.985719,0.0909091,-0.000434323
0,80,0.986814,0.0909091,-0.0004408
0,81,0.987925,0.0909091,-0.000445267
0,82,0.989048,0.0909091,-0.000447292
0,83,0.99018,0.0909091,-0.000448396
0,84,0.99132,0.0909091,-0.000449521
0,85,0.992465,0.0909091,-0.000444644
0,86,0.993594,0.0909091,-0.000437028
0,87,0.99472,0.0909091,-0.000440864
0,88,0.995874,0.0909091,-0.000446278
0,89,0.99701,0.0909091,-0.000408734
0,90,0.99803,0.0909091,-0.0004079
0,91,0.999215,0.0909091,-0.000520775
0,92,1.00066,0.0909091,-0.0004937
0,93,1.00162,0.0909091,-0.000173728
0,94,1.00217,0.0909091,-0.000768449
0,95,1.00579,0.0909091,-0.00170838
0,96,1.00908,0.0909091,0.000387498
0,97,1.0049,0.0909091,0.000842039
0,98,1.01427,0.0909091,-0.0151373
0,99,1.06352,0.0909091,6.52448e-18
1,0,1.02135,0.0401431,0
1,1,1.01159,0.0967705,0.0272472
1,2,1.00882,0.0976449,0.0204212
1,3,1.00401,0.0915165,0.0114188
1,4,1.00119,0.0913293,0.0070035
1,5,1.0003,0.0905918,0.00520476
1,6,0.999118,0.0897683,0.00415671
1,7,0.997758,0.0898562,0.00354068
1,8,0.996702,0.0898557,0.00314388
1,9,0.995729,0.0897355,0.00293472
1,10,0.994709,0.0896976,0.00283462
1,11,0.993685,0.0897336,0.00279031
1,12,0.992684,0.0897327,0.00277478
1,13,0.991678,0.0897311,0.00278825
1,14,0.990665,0.0897426,0.00281362
1,15,0.989653,0.0897574,0.00283817
1,16,0.98865,0.0897652,0.00285623
1,17,0.987655,0.0897729,0.00286441
1,18,0.986675,0.0897804,0.00285677
1,19,0.985713,0.0897862,0.00282966
1,20,0.984774,0.0897899,0.00278143
1,21,0.983858,0.0897932,0.00271122
1,22,0.982967,0.0897965,0.00261874
1,23,0.982102,0.0898006,0.0025051
1,24,0.98126,0.0898063,0.00237252
1,25,0.98044,0.089815,0.002224
1,26,0.979639,0.0898277,0.00206326
1,27,0.978851,0.0898453,0.00189462
1,28,0.978073,0.0898687,0.00172266
1,29,0.977301,0.0898985,0.00155191
1,30,0.976531,0.0899352,0.00138661
