x,y,rho,ux,uy
0,0,0.969273,0.0909091,3.57943e-18
0,1,0.921845,0.0909091,0.0160635
0,2,0.912712,0.0909091,-0.000784408
0,3,0.916559,0.0909091,-0.000382672
0,4,0.913558,0.0909091,0.00174119
0,5,0.910274,0.0909091,0.000742646
0,6,0.909996,0.0909091,7.37844e-05
0,7,0.909453,0.0909091,0.000357999
0,8,0.90856,0.0909091,0.000349537
0,9,0.907979,0.0909091,0.00020165
0,10,0.907634,0.0909091,0.000168821
0,11,0.90725,0.0909091,0.000179568
0,12,0.906908,0.0909091,0.000151652
0,13,0.906635,0.0909091,0.00012798
0,14,0.906402,0.0909091,0.000118756
0,15,0.906185,0.0909091,0.000110935
0,16,0.905996,0.0909091,0.000100322
0,17,0.905831,0.0909091,9.23973e-05
0,18,0.905684,0.0909091,8.63205e-05
0,19,0.905552,0.0909091,8.04565e-05
0,20,0.905436,0.0909091,7.47321e-05
0,21,0.905334,0.0909091,6.96519e-05
0,22,0.905246,0.0909091,6.48525e-05
0,23,0.90517,0.0909091,6.01423e-05
0,24,0.905105,0.0909091,5.55313e-05
0,25,0.905052,0.0909091,5.10443e-05
0,26,0.90501,0.0909091,4.6617e-05
0,27,0.904977,0.0909091,4.2249e-05
0,28,0.904955,0.0909091,3.79652e-05
0,29,0.904942,0.0909091,3.37927e-05
0,30,0.904937,0.0909091,2.97554e-05
0,31,0.90494,0.0909091,2.58908e-05
0,32,0.90495,0.0909091,2.22379e-05
0,33,0.904966,0.0909091,1.8833e-05
0,34,0.904987,0.0909091,1.57088e-05
0,35,0.905012,0.0909091,1.28939e-05
0,36,0.90504,0.0909091,1.04093e-05
0,37,0.90507,0.0909091,8.26778e-06
0,38,0.905101,0.0909091,6.47313e-06
0,39,0.905132,0.0909091,5.02028e-06
0,40,0.905161,0.0909091,3.89546e-06
0,41,0.905189,0.0909091,3.0772e-06
0,42,0.905214,0.0909091,2.53765e-06
0,43,0.905236,0.0909091,2.24415e-06
0,44,0.905253,0.0909091,2.16081e-06
0,45,0.905267,0.0909091,2.25015e-06
0,46,0.905276,0.0909091,2.47444e-06
0,47,0.905281,0.0909091,2.79679e-06
0,48,0.90528,0.0909091,3.18176e-06
0,49,0.905275,0.0909091,3.59563e-06
0,50,0.905265,0.0909091,4.00625e-06
0,51,0.905249,0.0909091,4.38263e-06
0,52,0.905229,0.0909091,4.69438e-06
0,53,0.905205,0.0909091,4.91113e-06
