x,y,rho,ux,uy
0,0,1.00909,0.0909091,0
0,1,0.964575,0.0909091,0.0143581
0,2,0.956387,0.0909091,-0.000974018
0,3,0.960633,0.0909091,-0.000545872
0,4,0.958078,0.0909091,0.00141063
0,5,0.955415,0.0909091,0.000432157
0,6,0.955675,0.0909091,-0.000177416
0,7,0.955639,0.0909091,9.1652e-05
0,8,0.955252,0.0909091,7.46223e-05
0,9,0.955187,0.0909091,-6.92627e-05
0,10,0.955338,0.0909091,-9.64932e-05
0,11,0.955434,0.0909091,-8.56036e-05
0,12,0.955561,0.0909091,-0.00011131
0,13,0.955744,0.0909091,-0.000129637
0,14,0.955944,0.0909091,-0.000132144
0,15,0.95614,0.0909091,-0.000133102
0,16,0.95634,0.0909091,-0.000135437
0,17,0.95654,0.0909091,-0.000133731
0,18,0.956732,0.0909091,-0.000129478
0,19,0.956911,0.0909091,-0.000124564
0,20,0.95708,0.0909091,-0.000118947
0,21,0.957235,0.0909091,-0.000112348
0,22,0.957376,0.0909091,-0.000105369
0,23,0.957502,0.0909091,-9.83147e-05
0,24,0.957614,0.0909091,-9.12521e-05
0,25,0.957713,0.0909091,-8.42881e-05
0,26,0.957799,0.0909091,-7.75877e-05
0,27,0.957872,0.0909091,-7.12209e-05
0,28,0.957935,0.0909091,-6.52256e-05
0,29,0.957989,0.0909091,-5.96357e-05
0,30,0.958033,0.0909091,-5.44714e-05
0,31,0.95807,0.0909091,-4.97277e-05
0,32,0.958101,0.0909091,-4.53903e-05
0,33,0.958126,0.0909091,-4.14377e-05
0,34,0.958147,0.0909091,-3.78413e-05
0,35,0.958164,0.0909091,-3.45669e-05
0,36,0.958178,0.0909091,-3.15784e-05
0,37,0.95819,0.0909091,-2.88388e-05
0,38,0.9582,0.0909091,-2.63114e-05
0,39,0.958209,0.0909091,-2.39607e-05
0,40,0.958217,0.0909091,-2.17537e-05
0,41,0.958225,0.0909091,-1.96602e-05
0,42,0.958233,0.0909091,-1.76535e-05
0,43,0.95824,0.0909091,-1.571e-05
0,44,0.958248,0.0909091,-1.381e-05
0,45,0.958256,0.0909091,-1.19369e-05
0,46,0.958264,0.0909091,-1.00776e-05
0,47,0.958273,0.0909091,-8.22139e-06
0,48,0.958281,0.0909091,-6.36019e-06
0,49,0.958291,0.0909091,-4.48762e-06
0,50,0.9583,0.0909091,-2.59855e-06
0,51,0.95831,0.0909091,-6.88531e-07
0,52,0.95832,0.0909091,1.24691e-06
0,53,0.958329,0.0909091,3.21283e-06
0,54,0.958339,0.0909091,5.21552e-06
0,55,0.958349,0.0909091,7.26307e-06
0,56,0.958359,0.0909091,9.36588e-06
0,57,0.958369,0.0909091,1.15371e-05
0,58,0.958377,0.0909091,1.37929e-05
0,59,0.958386,0.0909091,1.61528e-05
0,60,0.958393,0.0909091,1.86396e-05
0,61,0.958398,0.0909091,2.12791e-05
0,62,0.958402,0.0909091,2.40999e-05
0,63,0.958403,0.0909091,2.71327e-05
0,64,0.958402,0.0909091,3.04093e-05
0,65,0.958397,0.0909091,3.39611e-05
0,66,0.958388,0.0909091,3.7818e-05
